Job Title
Accounts Payable Accounts Receivable Analyst
Senior Software Developer - Power Trading
Warehousing Supervisor
Financial Controller
Analyst - Settlements
Financial Compliance Officer
Analyst - Financial & Operational Control
Natural Gas Scheduler
Junior Commodity Credit Portfolio Manager
Management Accountant
LNG Cargo Operator
Traf Analyst
Operations Support Analyst
Analyst - Trade Finance
Accounting Operations Analyst - fixed term
IT Security Engineer
Regional Recruiter - North America
FRENCH SPEAKING Operational Controller
Analyst - Trade Finance
Latin America Oil Market Analyst - Uruguay Regional Office
Market Risk Financial Engineer
Market Risk Financial Engineer
Credit Support Analyst
Jefe de Proyectos y Productividad
Business Developer
OneStream Techno-Functional Lead
Senior Quality Assurance Manager
Counterparty Documentation Specialist - Maternity Cover
Contracts Analyst
Senior Analyst - Payroll Accounting
Quant Developer
Senior Software Engineer (Backend)
Fuel Oil Analyst
Oil Operator
Quantitative Analyst
Credit Support Analyst
Senior Analyst - FX Risk Management
Full Stack Developer
Team Lead - Treasury
Oil Operator
Analyst - Bunker Operations
Oil Operator
Terminal Operations Manager (Campana)
Gerente de Seguridad y Salud Ocupacional
Analyst - Direct Tax
Analyst - Deals Desk
Analyst - Deals Desk
Accounting Operations Analyst
Pipeline Scheduler
Risk Analyst
QA Analyst
Refined Metals Operator
"IT Project Manager - ESG, Health & Safety"
"IT Business Analyst – ESG, Health & Safety"
IT Analyst
Settlements Analyst - Power Markets
PMO Assistant Intern
Oil Shipping Operator
International Trader Opportunity
International Trader Opportunity
International Trader Opportunity
Analyst - Contracts
IT Security Engineer
Operador en Terminal Campana
HR Business Partner
Analyst - Group Reporting
Latin America Oil Market Analyst
IT Security Engineer
Legal Counsel
Legal Counsel
Legal Counsel - Uruguay Regional Office
Legal Counsel - Uruguay Regional Office
Legal Counsel - Uruguay Regional Office
Cloud DevOps Engineer
Manager - FX Risk Management
Renewables Analyst
BCP Specialist
Analyst - Oil Operations
Analyst - Deals Desk
Analyst - Operations
Structured Finance Manager
Front Office D&A Application Engineer
AVP - IT Security Engineer
CTRM Business Architect - Back Office
Principal Cloud DevOps Engineer
Quant Risk Analyst - Gas&Power Trading
Manager - Quality Assurance
Lead Business Analyst – Front Office
Technical Lead – Titan Back Office
Technical Lead – Titan Front Office
Quality Assurance Manager – Titan Back Office
Quality Assurance Manager – Titan Front Office
Lead Business Analyst – Back Office
Front Office D&A Application Engineer
Receptionist and Administrative Assistant
Senior Intraday Trader
IT Business Analyst – Allegro & Power & Natural Gas
Analyst - FX Risk Management (Hybrid)
Analyst - Accounting
Legal Counsel
Analyst - Treasury
Analyst - Trade Finance
Trade Finance Officer
Analyst - Business Support
Concentrates Operator
Commodity Scheduler
Accountant
Risk and Market Analyst
Analyst - Deals Desk (Processing)
"Head of Credit - Gas, Power & Renewables"
Senior Analyst - Contracts
Developer - Regional Office Uruguay
Market Risk Manager - Oil Products
Market Risk Manager - Gas and Power
Technical Superintendent
Technical Superintendent
Oil Operator
AVP - Lead Business Analyst - Middle Office
Head of Trading IT Front Office
Power Technical Analyst
Full Stack Developer
Alumina/Aluminium Analyst
Battery Metals Trader
Analyst - Oil Operations
Global Head of Storage
Analyst - Deals Desk
Senior Analyst - Oil Operations
Analyst - Derivatives
PMO Assistant Intern
Commercial Operations Intern
Analyst - Oil Operations
